"promo_date";"product_id";"discount_pct"
"2023-03-07 05:00:00";196;10
"2023-08-18 13:00:00";125;10
"2023-10-01 18:00:00";125;25
"2023-09-20 17:00:00";52;25
"2023-12-28 22:00:00";52;10
"2023-03-22 01:00:00";52;20
"2023-11-10 07:00:00";167;25
"2023-02-14 11:00:00";76;30
"2023-11-17 17:00:00";76;30
"2023-06-14 21:00:00";44;25
"2023-08-02 20:00:00";44;20
"2023-06-01 07:00:00";155;30
"2023-12-07 01:00:00";155;15
"2023-03-17 00:00:00";262;20
"2023-12-30 09:00:00";262;30
"2023-03-24 20:00:00";1395;15
"2023-03-27 04:00:00";43;20
"2023-08-31 21:00:00";208;30
"2023-09-23 13:00:00";208;10
"2023-03-10 21:00:00";215;30
"2023-09-23 23:00:00";176;20
"2023-07-10 13:00:00";30;25
"2023-04-03 19:00:00";30;25
"2023-05-21 14:00:00";103;10
"2023-04-28 11:00:00";73;20
"2023-10-21 22:00:00";73;15
"2023-12-01 03:00:00";49;10
"2023-09-25 17:00:00";49;10
"2023-12-26 02:00:00";36;20
"2023-03-10 04:00:00";36;10
"2023-08-06 01:00:00";36;25
"2023-09-17 23:00:00";284;20
"2023-01-05 16:00:00";65;25
"2023-11-02 01:00:00";65;20
"2023-01-22 22:00:00";234;25
"2023-02-06 09:00:00";234;15
"2023-02-09 02:00:00";115;20
"2023-10-24 10:00:00";115;25
"2023-07-20 17:00:00";130;25
"2023-07-09 23:00:00";130;10
"2023-12-11 13:00:00";91;20
"2023-10-08 07:00:00";113;15
"2023-12-30 21:00:00";113;10
"2023-07-05 05:00:00";113;15
"2023-03-13 18:00:00";266;10
"2023-08-26 15:00:00";266;10
"2023-03-21 04:00:00";247;15
"2023-07-20 22:00:00";146;10
"2023-07-05 22:00:00";151;20
"2023-01-26 07:00:00";151;30
"2023-04-02 04:00:00";151;20
"2023-06-18 02:00:00";151;30
"2023-05-11 09:00:00";119;30
"2023-11-17 18:00:00";119;25
"2023-02-16 15:00:00";119;15
"2023-12-21 10:00:00";8;20
"2023-09-20 08:00:00";239;10
"2023-01-11 02:00:00";239;15
"2023-07-06 10:00:00";181;10
"2023-09-13 17:00:00";181;25
"2023-12-12 21:00:00";181;15
"2023-12-27 00:00:00";181;30
"2023-10-23 04:00:00";28;20
"2023-03-05 18:00:00";28;30
"2023-09-27 20:00:00";250;25
"2023-08-04 13:00:00";250;30
"2023-12-07 08:00:00";250;10
"2023-04-27 11:00:00";233;20
"2023-10-26 04:00:00";233;30
"2023-07-16 20:00:00";233;20
"2023-10-28 16:00:00";118;25
"2023-07-17 07:00:00";118;20
"2023-03-24 16:00:00";62;15
"2023-07-11 14:00:00";62;20
"2023-10-27 08:00:00";15;30
"2023-12-18 09:00:00";15;20
"2023-12-16 17:00:00";15;15
"2023-04-29 18:00:00";15;30
"2023-02-20 18:00:00";209;15
"2023-12-28 20:00:00";209;25
"2023-06-15 12:00:00";261;15
"2023-03-15 19:00:00";261;10
"2023-10-18 22:00:00";225;15
"2023-11-18 23:00:00";1213;30
"2023-08-11 03:00:00";225;25
"2023-08-01 01:00:00";296;20
"2023-02-11 14:00:00";296;30
"2023-02-22 02:00:00";114;20
"2023-03-05 00:00:00";114;15
"2023-09-15 04:00:00";248;10
"2023-12-06 08:00:00";288;30
"2023-02-12 10:00:00";132;25
"2023-01-03 09:00:00";168;30
"2023-10-08 21:00:00";69;20
"2023-12-01 18:00:00";71;30
"2023-02-10 05:00:00";40;25
"2023-10-02 18:00:00";22;20
"2023-03-25 13:00:00";153;30
"2023-12-15 05:00:00";153;25
"2023-06-29 06:00:00";27;15
"2023-09-10 04:00:00";27;15
"2023-02-11 01:00:00";47;30
"2023-07-06 00:00:00";47;25
"2023-05-14 09:00:00";3;20
"2023-05-10 16:00:00";3;15
"2023-04-11 08:00:00";193;10
"2023-01-28 17:00:00";300;20
"2023-03-09 06:00:00";154;15
"2023-06-04 06:00:00";154;25
"2023-05-06 02:00:00";223;15
"2023-04-14 21:00:00";223;20
"2023-07-20 04:00:00";223;30
"2023-03-19 21:00:00";174;15
"2023-06-29 17:00:00";174;20
"2023-11-13 06:00:00";229;15
"2023-03-10 22:00:00";229;30
"2023-05-05 17:00:00";19;10
"2023-10-29 00:00:00";29;15
"2023-10-28 20:00:00";29;10
"2023-09-15 18:00:00";216;10
"2023-06-19 14:00:00";216;25
"2023-10-30 12:00:00";3469;15
"2023-03-12 17:00:00";216;25
"2023-10-15 11:00:00";221;30
"2023-02-13 04:00:00";221;20
"2023-10-16 13:00:00";221;15
"2023-04-04 06:00:00";279;25
"2023-03-29 05:00:00";279;15
"2023-06-21 14:00:00";279;30
"2023-11-15 20:00:00";89;30
"2023-04-13 11:00:00";89;15
"2023-11-03 12:00:00";89;20
"2023-04-19 20:00:00";253;20
"2023-07-16 23:00:00";253;30
"2023-03-08 20:00:00";94;15
"2023-09-26 05:00:00";94;25
"2023-02-07 06:00:00";94;20
"2023-03-27 03:00:00";84;20
"2023-05-03 18:00:00";147;10
"2023-08-17 12:00:00";147;30
"2023-01-31 18:00:00";190;25
"2023-09-12 15:00:00";268;25
"2023-08-14 05:00:00";268;10
"2023-02-16 16:00:00";173;15
"2023-05-04 13:00:00";173;10
"2023-09-02 20:00:00";173;25
"2023-11-26 13:00:00";173;20
"2023-09-17 21:00:00";267;15
"2023-06-04 11:00:00";37;10
"2023-12-27 06:00:00";191;15
"2023-10-17 04:00:00";191;20
"2023-01-11 09:00:00";265;10
"2023-12-29 22:00:00";265;15
"2023-06-08 18:00:00";265;20
"2023-11-02 01:00:00";237;30
"2023-11-10 21:00:00";237;20
"2023-03-24 20:00:00";294;20
"2023-02-24 09:00:00";252;20
"2023-02-15 02:00:00";178;25
"2023-10-03 20:00:00";178;20
"2023-09-25 11:00:00";297;20
"2023-09-27 02:00:00";297;25
"2023-03-31 23:00:00";297;25
"2023-02-04 11:00:00";235;15
"2023-12-14 01:00:00";235;30
"2023-01-11 15:00:00";17;25
"2023-05-04 22:00:00";48;10
"2023-09-16 07:00:00";48;30
"2023-12-08 22:00:00";276;25
"2023-04-14 09:00:00";276;25
"2023-03-23 09:00:00";7;25
"2023-01-24 07:00:00";7;25
"2023-04-29 21:00:00";7;30
"2023-11-22 06:00:00";5;30
"2023-02-27 20:00:00";5;20
"2023-06-01 19:00:00";5;25
"2023-04-27 08:00:00";172;10
"2023-05-12 02:00:00";293;10
"2023-09-28 13:00:00";293;20
"2023-09-09 13:00:00";26;15
"2023-11-10 21:00:00";26;10
"2023-04-25 10:00:00";259;10
"2023-11-01 10:00:00";111;20
"2023-10-04 08:00:00";111;30
"2023-06-01 23:00:00";185;20
"2023-09-17 16:00:00";185;20
"2023-03-11 18:00:00";139;25
"2023-05-29 08:00:00";139;10
"2023-10-15 18:00:00";212;20
"2023-07-17 05:00:00";212;15
"2023-12-27 11:00:00";192;20
"2023-05-30 00:00:00";9;10
"2023-07-14 13:00:00";1725;15
"2023-11-06 03:00:00";9;15
